n_denoise_step,precision,batch_size,avg_inference_sec,avg_images_per_hour,avg_peak_gpu_mem_mb,avg_psnr_db,avg_ssim,avg_bpp,n_images
5,fp32,1,11.274,319.31,52225.8,31.57,0.9066,0.33,15
10,fp32,1,22.29,161.51,52225.9,31.0,0.9019,0.33,15
20,fp32,1,44.365,81.15,52225.9,30.47,0.8961,0.33,15
30,fp32,1,67.158,53.68,52225.9,30.25,0.8921,0.33,15
50,fp32,1,110.563,32.56,52225.9,30.03,0.8873,0.33,15
65,fp32,1,143.668,25.06,52225.8,29.92,0.8845,0.33,15
100,fp32,1,220.852,16.3,52225.9,29.77,0.8809,0.33,15
5,fp16,1,10.471,343.81,34207.5,31.63,0.9063,inf,15
10,fp16,1,20.726,173.69,34207.5,31.05,0.9017,inf,15
20,fp16,1,41.261,87.25,34207.5,30.55,0.8958,inf,15
30,fp16,1,61.799,58.25,34207.5,30.37,0.8917,inf,15
50,fp16,1,102.874,34.99,34207.5,30.15,0.8867,inf,15
65,fp16,1,133.683,26.93,34207.5,30.03,0.8839,inf,15
100,fp16,1,205.536,17.52,34207.5,29.87,0.88,inf,15
